movie_title,Worldwide,Domestic,Domestic_percent,Foreign,Foreign_percent
The Martian,"$630,161,890.00","$228,433,663.00",36.20%,"$401,728,227.00",63.80%
Water Gate Bridge,"$626,571,697.00","$117,294.00",<0.1%,"$626,454,403.00",100%
Fast Five,"$626,137,675.00","$209,837,675.00",33.50%,"$416,300,000.00",66.50%
Iron Man 2,"$623,933,331.00","$312,433,331.00",50.10%,"$311,500,000.00",49.90%
Ant-Man and the Wasp,"$622,674,139.00","$216,648,740.00",34.80%,"$406,025,399.00",65.20%
How to Train Your Dragon 2,"$621,537,519.00","$177,002,924.00",28.50%,"$444,534,595.00",71.50%
Logan,"$619,021,436.00","$226,277,068.00",36.60%,"$392,744,368.00",63.40%
Life of Pi,"$609,016,565.00","$124,987,023.00",20.50%,"$484,029,542.00",79.50%
Transformers: The Last Knight,"$605,425,157.00","$130,168,683.00",21.50%,"$475,256,474.00",78.50%
Tangled,"$592,461,732.00","$200,821,936.00",33.90%,"$391,639,796.00",66.10%
The Croods,"$587,204,668.00","$187,168,425.00",31.90%,"$400,036,243.00",68.10%
The Hangover Part II,"$586,764,305.00","$254,464,305.00",43.40%,"$332,300,000.00",56.60%
Ready Player One,"$582,890,172.00","$137,690,172.00",23.60%,"$445,200,000.00",76.40%
Operation Red Sea,"$579,330,426.00","$1,543,547.00",0.30%,"$577,786,879.00",99.70%
Fifty Shades of Grey,"$569,651,467.00","$166,167,230.00",29.20%,"$403,484,237.00",70.80%
Kong: Skull Island,"$566,652,812.00","$168,052,812.00",29.70%,"$398,600,000.00",70.30%
The Smurfs,"$563,749,323.00","$142,614,158.00",25.30%,"$421,135,165.00",74.70%
Cars 2,"$559,852,396.00","$191,452,396.00",34.20%,"$368,400,000.00",65.80%
Puss in Boots,"$554,987,477.00","$149,260,504.00",26.90%,"$405,726,973.00",73.10%
The Mermaid,"$553,810,228.00","$3,232,685.00",0.60%,"$550,577,543.00",99.40%
Ted,"$549,368,315.00","$218,815,487.00",39.80%,"$330,552,828.00",60.20%
American Sniper,"$547,426,372.00","$350,126,372.00",64%,"$197,300,000.00",36%
Detective Chinatown 2,"$544,185,156.00","$1,983,984.00",0.40%,"$542,201,172.00",99.60%
X-Men: Apocalypse,"$543,934,105.00","$155,442,489.00",28.60%,"$388,491,616.00",71.40%
